AgentID,GoodPointAmount,BadPointAmount,Velocity,xAxisPos,zAxisPos,seenBySnatcher,touchedWall,date-time,update
-1250,0,0,14.03899,-5.848903,-26.717,0,0,24/09/2020 19:17:10,50
-1134,1,0,4.756318,24.72715,60.50095,0,0,24/09/2020 19:17:10,50
-1110,0,0,4.004809,-25.29592,36.29736,0,2,24/09/2020 19:17:10,50
-1086,0,0,21.51216,4.509916,43.3065,0,0,24/09/2020 19:17:10,50
-1062,1,0,8.910497,-13.97722,-5.177692,0,3,24/09/2020 19:17:10,50
-1250,0,0,6.685123,-2.784486,-27.93728,0,2,24/09/2020 19:17:11,101
-1134,1,0,22.8017,12.39649,64.02197,0,0,24/09/2020 19:17:11,101
-1110,1,1,22.44032,-39.0391,36.1442,0,2,24/09/2020 19:17:11,101
-1086,0,1,15.96544,-3.371773,44.54292,0,0,24/09/2020 19:17:11,101
-1062,2,0,9.804923,-14.48436,-5.063951,0,4,24/09/2020 19:17:11,101
-1250,0,0,19.09009,5.176108,-27.19673,0,2,24/09/2020 19:17:12,152
-1134,3,1,12.84847,0.6985837,53.78355,0,0,24/09/2020 19:17:12,152
-1110,1,1,12.8127,-48.29833,32.90108,0,3,24/09/2020 19:17:12,152
-1086,0,1,8.427631,-7.179229,43.73694,0,0,24/09/2020 19:17:12,152
-1062,2,0,11.86587,-26.63088,-9.321101,0,5,24/09/2020 19:17:12,152
-1250,0,0,29.38113,25.37215,-9.258928,0,2,24/09/2020 19:17:13,203
-1134,3,1,3.819855,10.36045,41.7147,0,1,24/09/2020 19:17:13,203
-1110,1,1,1.401956,-48.11824,28.20555,0,8,24/09/2020 19:17:13,203
-1086,1,1,9.780961,-7.468125,39.66227,0,0,24/09/2020 19:17:13,203
-1062,2,0,17.74659,-27.98355,-19.66698,0,5,24/09/2020 19:17:13,203
-1250,1,0,15.41844,24.60136,-5.090445,0,3,24/09/2020 19:17:14,254
-1134,3,1,13.10033,20.88977,42.25124,0,1,24/09/2020 19:17:14,254
-1110,1,2,13.99877,-43.32571,20.01447,0,8,24/09/2020 19:17:14,254
-1086,1,1,24.29377,3.729052,38.94138,0,0,24/09/2020 19:17:14,254
-1062,2,0,1.490116E-08,-24.45643,-29.89149,0,7,24/09/2020 19:17:14,254
-1250,1,0,7.333195,20.11169,-7.75889,0,3,24/09/2020 19:17:15,305
-1134,5,1,23.06026,28.18114,58.90385,0,1,24/09/2020 19:17:15,305
-1110,1,2,14.68311,-35.17416,23.82706,0,8,24/09/2020 19:17:15,305
-1086,1,1,10.90508,8.262434,37.54422,0,1,24/09/2020 19:17:15,305
-1062,2,0,0.2340416,-22.71391,-29.7452,0,14,24/09/2020 19:17:15,305
-1250,2,0,14.48253,18.12029,-13.6376,0,3,24/09/2020 19:17:16,356
-1134,5,1,5.719454,26.54504,66.06876,0,4,24/09/2020 19:17:16,356
-1110,1,2,2.986823,-24.27781,35.00426,0,8,24/09/2020 19:17:16,356
-1086,1,1,18.68478,11.40606,44.45407,0,1,24/09/2020 19:17:16,356
-1062,2,0,22.56696,-18.35928,-28.63324,0,22,24/09/2020 19:17:16,356
-1250,2,1,4.234624,5.488461,-23.39795,0,3,24/09/2020 19:17:17,407
-1134,5,1,14.35345,21.39112,66.88528,0,7,24/09/2020 19:17:17,407
-1110,1,2,15.77136,-29.09678,35.96268,0,8,24/09/2020 19:17:17,407
-1086,1,1,17.65829,10.97241,49.56436,0,1,24/09/2020 19:17:17,407
-1062,2,0,7.958151,-9.259639,-28.36219,0,24,24/09/2020 19:17:17,407
-1250,2,1,2.778905,-1.315562,-29.80766,0,5,24/09/2020 19:17:18,458
-1134,5,1,6.968841,17.28071,63.9055,0,9,24/09/2020 19:17:18,458
-1110,1,2,16.15366,-36.00881,37.58095,0,11,24/09/2020 19:17:18,458
-1086,1,1,14.5377,0.7205454,41.00584,0,1,24/09/2020 19:17:18,458
-1062,2,0,1.25366,8.03724,-19.97717,0,24,24/09/2020 19:17:18,458
-1250,2,1,8.302569,7.520205,-29.92833,0,7,24/09/2020 19:17:19,509
-1134,5,1,14.39007,18.5434,56.02622,0,9,24/09/2020 19:17:19,509
-1110,1,2,18.48809,-47.49153,23.89235,0,11,24/09/2020 19:17:19,509
-1086,2,2,29.20547,-3.099223,39.14026,0,1,24/09/2020 19:17:19,509
-1062,2,0,15.7424,17.00037,-17.23023,0,24,24/09/2020 19:17:19,509
-1250,2,1,9.941039,13.29941,-27.52438,0,7,24/09/2020 19:17:20,560
-1134,5,1,18.8731,12.24717,46.81956,0,9,24/09/2020 19:17:20,560
-1110,1,2,13.90573,-48.3492,19.26772,0,14,24/09/2020 19:17:20,560
-1086,3,2,8.983248,-13.85921,32.58687,0,1,24/09/2020 19:17:20,560
-1062,2,0,7.102991,24.38385,-11.91866,0,24,24/09/2020 19:17:20,560
-1250,2,1,30.09979,18.63953,-10.93638,0,7,24/09/2020 19:17:21,611
-1134,5,1,16.83232,3.255613,37.32181,0,9,24/09/2020 19:17:21,611
-1110,1,2,5.4642,-48.32587,13.93119,0,17,24/09/2020 19:17:21,611
-1086,3,2,8.550908,-10.1451,28.17037,0,1,24/09/2020 19:17:21,611
-1062,2,0,0.764551,25.36951,-5.268202,0,26,24/09/2020 19:17:21,611
-1250,2,1,10.68884,13.64491,-6.852692,0,10,24/09/2020 19:17:22,662
-1134,5,1,3.013279,-7.922146,33.05707,0,9,24/09/2020 19:17:22,662
