snatcherVelocity,xAxisPos,zAxisPos,distanceToTarget,viewAngle,touchedWall,date-time,update
0,-4.205053,24.7623,0,203.2091,0,25/09/2020 01:59:11,51
0,-3.979463,22.31457,0,180.075,0,25/09/2020 01:59:12,102
0,4.906052,19.63431,0,131.6445,0,25/09/2020 01:59:13,153
15.17861,-1.456471,14.34399,6.093854,80.95868,0,25/09/2020 01:59:14,204
6.690698,-6.034221,13.55832,6.093854,111.3635,0,25/09/2020 01:59:15,255
0.6869783,-5.417533,5.516539,6.093854,110.8788,0,25/09/2020 01:59:16,306
0,-0.04709143,12.92893,6.093854,46.12003,0,25/09/2020 01:59:17,357
0,-0.6867847,13.10891,6.093854,279.9586,0,25/09/2020 01:59:18,408
0,4.649329,14.52068,6.093854,112.3394,0,25/09/2020 01:59:19,459
0,7.398651,20.14827,6.093854,88.44479,0,25/09/2020 01:59:20,510
9.226421,7.956058,20.8868,10.31162,227.0547,0,25/09/2020 01:59:21,561
12.33972,2.110779,0.3877122,6.300675,302.5983,0,25/09/2020 01:59:22,612
6.33601,-9.962866,-6.770777,6.300675,346.6247,0,25/09/2020 01:59:23,663
0.3322913,-11.31619,-5.586613,6.300675,374.4925,0,25/09/2020 01:59:24,714
1.816406E-13,-8.782435,1.030142,6.300675,61.33377,2,25/09/2020 01:59:25,765
9.687498E-14,-8.144642,7.282601,6.300675,315.9191,2,25/09/2020 01:59:26,816
0,-10.7968,15.93856,6.300675,65.89362,2,25/09/2020 01:59:27,867
0,-8.957192,13.96208,6.300675,152.7195,2,25/09/2020 01:59:28,918
7.472157,-4.454659,16.46492,3.786781,49.34219,2,25/09/2020 01:59:29,969
1.468437,-7.886134,25.09435,3.786781,362.1059,2,25/09/2020 01:59:30,1020
0,-7.501329,21.08786,3.786781,78.92054,2,25/09/2020 01:59:31,1071
0,-5.682061,15.71583,3.786781,164.7091,2,25/09/2020 01:59:32,1122
0,-7.85954,17.63695,3.786781,351.4275,2,25/09/2020 01:59:33,1173
0,-2.868885,21.75671,3.786781,216.6303,2,25/09/2020 01:59:34,1224
0,3.337744,17.07047,3.786781,175.5114,2,25/09/2020 01:59:35,1275
0,6.806451,10.3742,3.786781,341.58,2,25/09/2020 01:59:36,1326
0,7.321093,12.34011,3.786781,41.97778,2,25/09/2020 01:59:37,1377
0.0002084389,8.621339,14.13387,3.786781,339.9486,2,25/09/2020 01:59:38,1428
0,7.753198,22.14058,3.786781,75.20738,2,25/09/2020 01:59:39,1479
0,0.3795996,28.21028,3.786781,316.3007,2,25/09/2020 01:59:40,1530
0,-6.813598,22.57178,3.786781,194.4212,2,25/09/2020 01:59:41,1581
0,-4.847825,25.33542,3.786781,63.18683,2,25/09/2020 01:59:42,1632
0,-9.347979,21.12741,3.786781,194.5285,2,25/09/2020 01:59:43,1683
0,-3.196995,19.02059,3.786781,173.8619,2,25/09/2020 01:59:44,1734
0,-4.55116,14.5239,3.786781,333.6796,2,25/09/2020 01:59:45,1785
0,-1.243812,12.76265,3.786781,177.8977,2,25/09/2020 01:59:46,1836
0,0.7114754,17.95205,3.786781,129.9283,2,25/09/2020 01:59:47,1887
0,5.826625,23.9632,3.786781,93.95811,2,25/09/2020 01:59:48,1938
0,8.665095,23.41219,3.786781,358.6643,2,25/09/2020 01:59:49,1989
0,10.83511,24.66654,3.786781,202.2706,2,25/09/2020 01:59:50,2040
0,5.815863,26.86891,3.786781,181.4427,2,25/09/2020 01:59:51,2091
0,10.01914,18.46059,3.786781,266.3038,2,25/09/2020 01:59:52,2142
0,8.385217,11.95538,3.786781,263.6021,2,25/09/2020 01:59:53,2193
0,-0.8876144,12.80126,3.786781,350.0012,2,25/09/2020 01:59:54,2244
0,-5.641307,8.608507,3.786781,223.4391,2,25/09/2020 01:59:55,2295
9.68749E-14,-2.986393,6.532027,3.786781,108.8977,2,25/09/2020 01:59:56,2346
0,5.471171,10.66138,3.786781,131.484,2,25/09/2020 01:59:57,2397
