AgentID,GoodPointAmount,BadPointAmount,Velocity,xAxisPos,zAxisPos,seenBySnatcher,touchedWall,date-time,update
-1250,0,0,8.020123,-12.97221,18.89349,0,0,24/09/2020 04:47:59,50
-1134,0,0,8.927501,40.79534,-10.40117,0,0,24/09/2020 04:47:59,50
-1110,0,0,12.17456,36.63299,-6.630941,0,0,24/09/2020 04:47:59,50
-1086,1,0,8.409365,21.25231,34.73971,0,4,24/09/2020 04:47:59,50
-1062,0,0,7.803573,-16.44578,10.26591,0,0,24/09/2020 04:47:59,50
-1250,0,0,5.199332,-12.73505,24.25469,0,0,24/09/2020 04:48:00,101
-1134,0,0,9.698697,43.5276,-6.961714,0,0,24/09/2020 04:48:00,101
-1110,0,0,7.840826,27.90048,-7.981634,0,0,24/09/2020 04:48:00,101
-1086,2,0,4.227473,15.99729,31.61843,0,4,24/09/2020 04:48:00,101
-1062,0,0,5.895471,-13.50938,5.388085,0,0,24/09/2020 04:48:00,101
-1250,0,1,11.9563,-13.20362,28.89767,0,0,24/09/2020 04:48:01,152
-1134,0,0,7.529643,48.2395,-7.26197,0,2,24/09/2020 04:48:01,152
-1110,0,0,9.417919,27.38381,-9.632341,0,0,24/09/2020 04:48:01,152
-1086,2,0,9.920817,20.90153,24.56253,0,4,24/09/2020 04:48:01,152
-1062,0,0,0.2713253,-16.83777,17.47576,0,0,24/09/2020 04:48:01,152
-1250,1,2,12.68019,-16.37683,16.45013,0,0,24/09/2020 04:48:03,203
-1134,0,0,9.090656,47.76926,-6.636934,0,11,24/09/2020 04:48:03,203
-1110,0,0,7.534917,30.79647,-6.787855,0,0,24/09/2020 04:48:03,203
-1086,2,0,3.734942,21.99471,21.34283,0,4,24/09/2020 04:48:03,203
-1062,0,0,3.677519,-17.87009,16.06884,0,0,24/09/2020 04:48:03,203
-1250,1,2,9.571911,-16.03947,15.88765,0,0,24/09/2020 04:48:04,254
-1134,0,0,2.706779,47.13253,-0.05353767,0,12,24/09/2020 04:48:04,254
-1110,0,0,4.320776,33.41185,-2.048076,0,0,24/09/2020 04:48:04,254
-1086,2,0,9.842251,20.33513,22.08367,0,4,24/09/2020 04:48:04,254
-1062,0,0,4.023088,-18.06996,15.49886,0,0,24/09/2020 04:48:04,254
-1250,1,2,4.168165,-19.36091,12.32226,1,0,24/09/2020 04:48:05,305
-1134,0,0,22.70554,39.72714,8.068793,0,13,24/09/2020 04:48:05,305
-1110,0,0,14.9194,34.50677,3.173316,0,0,24/09/2020 04:48:05,305
-1086,2,0,13.56247,22.21774,22.5251,0,4,24/09/2020 04:48:05,305
-1062,1,0,1.335307,-25.52456,15.05427,0,0,24/09/2020 04:48:05,305
-1250,1,3,12.21786,-9.671935,10.11541,1,0,24/09/2020 04:48:06,356
-1134,0,0,9.702307,30.32358,18.36928,0,13,24/09/2020 04:48:06,356
-1110,0,0,16.5123,37.74213,8.335583,0,0,24/09/2020 04:48:06,356
-1086,2,0,6.29228,25.62258,14.76994,0,4,24/09/2020 04:48:06,356
-1062,1,0,9.373434,-25.4611,16.99449,0,0,24/09/2020 04:48:06,356
-1250,2,3,18.20879,-5.749285,4.864403,1,0,24/09/2020 04:48:07,407
-1134,0,0,7.413936,25.14479,22.14962,0,13,24/09/2020 04:48:07,407
-1110,0,0,5.718988,46.15229,6.443328,0,0,24/09/2020 04:48:07,407
-1086,2,0,5.784813,29.81608,13.76942,0,4,24/09/2020 04:48:07,407
-1062,1,0,1.254934,-24.86562,22.25414,0,0,24/09/2020 04:48:07,407
-1250,2,3,19.76826,-6.180128,7.679728,1,0,24/09/2020 04:48:08,458
-1134,0,0,6.949122,25.36012,19.83252,0,13,24/09/2020 04:48:08,458
-1110,1,0,8.717232,44.36773,12.13774,0,0,24/09/2020 04:48:08,458
-1086,2,1,7.996914,30.65956,13.90208,0,4,24/09/2020 04:48:08,458
-1062,1,0,8.2828,-22.72144,26.16423,0,0,24/09/2020 04:48:08,458
-1250,3,3,10.81451,-11.01966,5.978989,1,0,24/09/2020 04:48:09,509
-1134,0,0,10.2751,31.35241,12.76409,0,13,24/09/2020 04:48:09,509
-1110,1,0,8.278064,40.53138,12.30937,0,0,24/09/2020 04:48:09,509
-1086,2,1,10.24658,32.35159,12.12497,0,4,24/09/2020 04:48:09,509
-1062,1,0,7.527626,-22.19874,25.55276,0,0,24/09/2020 04:48:09,509
-1250,3,3,4.718461,-12.83365,7.628287,1,0,24/09/2020 04:48:10,560
-1134,0,0,13.29093,30.49162,17.16653,0,13,24/09/2020 04:48:10,560
-1110,1,1,13.88225,35.86124,15.13231,0,0,24/09/2020 04:48:10,560
-1086,2,1,10.84499,34.01199,16.90775,0,4,24/09/2020 04:48:10,560
-1062,1,1,4.104128,-25.78739,30.29032,0,0,24/09/2020 04:48:10,560
-1250,3,3,3.76456,-13.73573,0.9779257,1,2,24/09/2020 04:48:11,611
-1134,0,0,2.942941,29.69267,18.18637,0,13,24/09/2020 04:48:11,611
-1110,2,1,8.013801,35.27467,19.95135,0,0,24/09/2020 04:48:11,611
-1086,2,1,7.439108,31.05889,18.51702,0,4,24/09/2020 04:48:11,611
-1062,1,1,9.527486,-25.06297,31.4211,0,0,24/09/2020 04:48:11,611
-1250,3,3,19.32325,-10.76184,6.860094,1,5,24/09/2020 04:48:12,662
-1134,0,0,9.833704,26.73919,19.20387,0,13,24/09/2020 04:48:12,662
-1110,2,1,7.774065,34.75884,27.74481,0,0,24/09/2020 04:48:12,662
-1086,2,1,8.62497,28.51525,17.80276,0,4,24/09/2020 04:48:12,662
-1062,1,1,15.18641,-32.75462,39.05352,0,0,24/09/2020 04:48:12,662
-1250,3,3,4.864306,-8.886881,5.509666,1,5,24/09/2020 04:48:13,713
-1134,0,0,8.727648,23.01147,19.44322,0,13,24/09/2020 04:48:13,713
-1110,2,1,4.314914,36.66968,27.27409,0,0,24/09/2020 04:48:13,713
-1086,2,1,16.374,29.93369,19.73157,0,4,24/09/2020 04:48:13,713
-1062,1,1,4.964291,-33.95222,41.30196,0,0,24/09/2020 04:48:13,713
-1250,3,4,7.474883,-4.701257,3.943652,1,5,24/09/2020 04:48:14,764
-1134,0,0,10.56797,22.035,14.60417,0,13,24/09/2020 04:48:14,764
-1110,2,1,9.634169,32.72081,27.38159,0,0,24/09/2020 04:48:14,764
-1086,2,1,9.13273,35.85295,23.21448,0,4,24/09/2020 04:48:14,764
-1062,1,1,8.212386,-35.39317,46.65644,0,0,24/09/2020 04:48:14,764
-1250,3,4,3.73281,1.18957,6.130242,1,5,24/09/2020 04:48:15,815
-1134,0,0,11.93642,15.31688,10.40887,0,13,24/09/2020 04:48:15,815
-1110,2,1,8.301361,35.95362,28.45717,0,0,24/09/2020 04:48:15,815
-1086,2,1,6.660194,32.09278,26.26781,0,4,24/09/2020 04:48:15,815
-1062,1,1,2.758505,-37.11052,48.45814,0,0,24/09/2020 04:48:15,815
-1250,3,4,9.114951,-6.864044,8.609056,1,5,24/09/2020 04:48:16,866
-1134,0,0,12.07664,19.72216,11.6155,0,13,24/09/2020 04:48:16,866
-1110,2,1,14.23434,39.86831,32.50631,0,0,24/09/2020 04:48:16,866
-1086,2,2,10.64797,37.40986,30.87207,0,4,24/09/2020 04:48:16,866
-1062,1,1,10.48069,-34.25085,44.29598,0,0,24/09/2020 04:48:16,866
-1250,3,4,7.343436,-7.472229,8.683001,1,5,24/09/2020 04:48:17,917
-1134,0,0,3.882107,20.24414,19.30666,0,13,24/09/2020 04:48:17,917
-1110,2,1,8.940697E-08,48.0853,35.5579,0,2,24/09/2020 04:48:17,917
-1086,2,2,5.645478,42.83838,30.96745,0,4,24/09/2020 04:48:17,917
-1062,1,1,5.093568,-29.20858,46.88369,0,0,24/09/2020 04:48:17,917
-1250,3,4,3.943207,-2.42023,12.6005,1,5,24/09/2020 04:48:18,968
-1134,0,0,6.374714,17.56052,25.23929,0,13,24/09/2020 04:48:18,968
-1110,2,1,5.388444,48.20458,34.44461,0,5,24/09/2020 04:48:18,968
-1086,2,2,5.286628,35.34785,38.66357,0,4,24/09/2020 04:48:18,968
-1062,1,1,21.86513,-37.08624,46.79879,0,0,24/09/2020 04:48:18,968
-1250,3,4,5.997983,3.471341,14.40057,1,5,24/09/2020 04:48:19,1019
-1134,0,0,17.72047,27.49169,28.66035,0,13,24/09/2020 04:48:19,1019
-1110,2,1,15.50977,44.17456,39.31045,0,8,24/09/2020 04:48:19,1019
-1086,2,2,23.46399,38.0249,36.46873,0,4,24/09/2020 04:48:19,1019
-1062,1,1,6.304296,-42.83826,45.56092,0,0,24/09/2020 04:48:19,1019
-1250,3,4,1.132125,3.368491,12.77864,1,5,24/09/2020 04:48:20,1070
-1134,0,0,7.22692,25.5722,24.50986,0,13,24/09/2020 04:48:20,1070
-1110,2,1,11.58507,45.71258,43.31229,0,8,24/09/2020 04:48:20,1070
-1086,3,2,6.62916,35.14489,32.24168,0,4,24/09/2020 04:48:20,1070
-1062,1,1,9.12065,-46.90353,40.85186,0,0,24/09/2020 04:48:20,1070
-1250,3,4,0.8662124,3.429068,15.573,1,5,24/09/2020 04:48:21,1121
-1134,0,0,3.864642,27.65142,25.61934,0,13,24/09/2020 04:48:21,1121
-1110,2,1,5.357916,46.88466,47.72285,0,8,24/09/2020 04:48:21,1121
-1086,3,2,7.663427,26.62675,31.67999,0,4,24/09/2020 04:48:21,1121
-1062,1,1,9.637465,-48.08894,37.92512,0,2,24/09/2020 04:48:21,1121
-1250,3,5,20.24624,3.726974,11.828,2,5,24/09/2020 04:48:22,1172
-1134,0,1,10.37622,22.832,29.31142,0,13,24/09/2020 04:48:22,1172
-1110,2,1,9.069796,46.09697,49.0716,0,9,24/09/2020 04:48:22,1172
-1086,3,2,8.639015,23.90437,23.30633,0,4,24/09/2020 04:48:22,1172
-1062,1,1,7.517215,-36.52098,36.94678,0,2,24/09/2020 04:48:22,1172
-1250,3,6,9.698621,9.059828,10.93486,3,5,24/09/2020 04:48:23,1223
-1134,0,1,19.22827,37.42035,35.56524,0,13,24/09/2020 04:48:23,1223
-1110,2,1,10.88309,46.96734,55.41347,0,10,24/09/2020 04:48:23,1223
-1086,3,2,16.85513,26.61081,21.52928,0,4,24/09/2020 04:48:23,1223
-1062,1,1,8.351774,-36.19085,37.9703,0,2,24/09/2020 04:48:23,1223
-1250,3,6,3.493258,7.619015,11.26102,3,5,24/09/2020 04:48:24,1274
-1134,0,1,3.075869,47.66418,40.98088,0,13,24/09/2020 04:48:24,1274
-1110,2,1,4.964698,43.69015,56.43874,0,10,24/09/2020 04:48:24,1274
-1086,3,2,1.893745,28.74666,21.58057,0,4,24/09/2020 04:48:24,1274
-1062,1,1,7.518489,-34.69064,41.85505,0,2,24/09/2020 04:48:24,1274
-1250,3,6,2.639502,5.415215,7.447246,3,5,24/09/2020 04:48:25,1325
-1134,0,1,1.885501,39.73051,38.68312,0,16,24/09/2020 04:48:25,1325
-1110,2,1,4.976431,46.99437,52.66709,0,13,24/09/2020 04:48:25,1325
-1086,3,2,6.352367,29.37805,17.50141,0,4,24/09/2020 04:48:25,1325
-1062,1,1,5.8005,-33.26065,45.94158,0,2,24/09/2020 04:48:25,1325
-1250,3,6,4.192887,-0.3541217,4.477383,3,5,24/09/2020 04:48:26,1376
-1134,0,1,10.03156,41.64396,44.13074,0,16,24/09/2020 04:48:26,1376
-1110,2,1,3.844955,47.84368,60.53185,0,14,24/09/2020 04:48:26,1376
-1086,3,2,1.140606,28.20796,14.19585,0,4,24/09/2020 04:48:26,1376
-1062,2,1,10.50698,-27.03115,54.05603,0,2,24/09/2020 04:48:26,1376
-1250,3,7,2.818418,-4.82585,0.8566389,3,5,24/09/2020 04:48:27,1427
-1134,0,1,8.866461,47.25022,45.40112,0,17,24/09/2020 04:48:27,1427
-1110,2,2,5.183474,43.02217,58.8058,0,14,24/09/2020 04:48:27,1427
-1086,3,2,3.216026,29.4612,8.528918,0,4,24/09/2020 04:48:27,1427
-1062,2,1,13.48572,-24.34785,61.37378,0,2,24/09/2020 04:48:27,1427
-1250,3,7,7.321388,-3.455065,-1.858381,3,5,24/09/2020 04:48:28,1478
-1134,0,1,0.7285271,47.76972,45.83566,0,18,24/09/2020 04:48:28,1478
-1110,2,2,3.574063,47.73167,58.92385,0,15,24/09/2020 04:48:28,1478
-1086,3,2,8.069344,30.51185,7.280248,0,4,24/09/2020 04:48:28,1478
-1062,2,1,6.015144,-19.81421,59.07713,0,2,24/09/2020 04:48:28,1478
-1250,4,7,10.19526,-8.861771,-3.231494,3,5,24/09/2020 04:48:29,1529
-1134,0,1,2.683386,47.76068,44.62115,0,19,24/09/2020 04:48:29,1529
-1110,2,2,3.941452,47.94592,62.07654,0,20,24/09/2020 04:48:29,1529
-1086,3,2,9.531324,33.75195,2.656075,0,4,24/09/2020 04:48:29,1529
-1062,2,1,18.03588,-21.12047,46.60531,0,2,24/09/2020 04:48:29,1529
-1250,4,7,10.47476,-7.071461,-12.3289,3,6,24/09/2020 04:48:30,1580
-1134,0,1,13.61246,47.19527,44.02911,0,20,24/09/2020 04:48:30,1580
-1110,2,2,3.492116,46.95524,62.44395,0,22,24/09/2020 04:48:30,1580
