snatcherVelocity,xAxisPos,zAxisPos,distanceToTarget,viewAngle,touchedWall,date-time,update
0,-2.678001,26.59936,0,134.2867,0,24/09/2020 10:55:46,51
0,3.446594,20.38569,0,381.2252,0,24/09/2020 10:55:47,102
0,-3.469302,26.61509,0,320.0829,0,24/09/2020 10:55:48,153
0,-5.730323,24.08819,0,89.83302,0,24/09/2020 10:55:49,204
0,1.000254,30.55523,0,117.9553,0,24/09/2020 10:55:50,255
0,1.74779,29.40564,0,229.5082,0,24/09/2020 10:55:51,306
0,1.737089,20.83415,0,256.7538,0,24/09/2020 10:55:52,357
0.003026934,-2.546747,15.57711,0,68.44091,0,24/09/2020 10:55:53,408
0,-0.145335,11.35872,0,173.506,0,24/09/2020 10:55:54,459
0,4.525914,17.18321,0,355.2101,0,24/09/2020 10:55:55,510
0,0.2060324,11.2801,0,206.0153,0,24/09/2020 10:55:56,561
0,-0.655986,10.86339,0,85.52396,0,24/09/2020 10:55:57,612
0,4.317912,18.38296,0,275.9929,0,24/09/2020 10:55:58,663
0,-2.399199,16.39753,0,237.845,0,24/09/2020 10:55:59,714
0,0.819095,12.23085,0,172.6988,0,24/09/2020 10:56:00,765
0,3.833938,10.26898,0,304.1495,0,24/09/2020 10:56:01,816
0,-2.205892,16.06179,0,291.9055,0,24/09/2020 10:56:02,867
0,-1.295757,17.73972,0,393.0735,0,24/09/2020 10:56:03,918
0,5.54611,12.76741,0,200.6495,0,24/09/2020 10:56:04,969
0,6.580995,16.56577,0,360.9268,0,24/09/2020 10:56:05,1020
0,7.001458,14.48712,0,362.4408,0,24/09/2020 10:56:06,1071
0,4.046438,14.91014,0,271.0438,0,24/09/2020 10:56:07,1122
8.871654,5.670493,18.7226,10.25911,70.87576,0,24/09/2020 10:56:08,1173
12.43686,2.098086,29.87836,7.448792,319.4901,0,24/09/2020 10:56:09,1224
6.433129,-4.12603,34.40842,7.448792,279.7021,0,24/09/2020 10:56:10,1275
0.4294058,-7.36963,29.09576,7.448792,236.164,0,24/09/2020 10:56:11,1326
0,-9.171837,23.43869,7.448792,165.3317,0,24/09/2020 10:56:12,1377
0,-12.31812,22.13923,7.448792,147.5783,0,24/09/2020 10:56:13,1428
0.02139517,-4.141304,21.12386,7.448792,86.90137,0,24/09/2020 10:56:14,1479
2.566434E-06,-0.1107969,29.04018,7.448792,379.6427,0,24/09/2020 10:56:15,1530
17.06706,-2.895655,23.47603,6.686769,284.8572,0,24/09/2020 10:56:16,1581
8.514399,3.029387,15.57226,6.686769,375.4158,0,24/09/2020 10:56:17,1632
2.510677,6.088252,12.10753,6.686769,350.2951,0,24/09/2020 10:56:18,1683
0,-2.538558,15.85297,6.686769,316.0971,0,24/09/2020 10:56:19,1734
8.472597,-11.76292,21.26573,3.365906,101.9437,0,24/09/2020 10:56:20,1785
2.468879,-19.51747,22.15724,3.365906,243.3785,0,24/09/2020 10:56:21,1836
0,-12.40766,17.99274,3.365906,94.18055,0,24/09/2020 10:56:22,1887
0,-12.18519,13.87353,3.365906,279.8103,0,24/09/2020 10:56:23,1938
0,-14.85205,20.15174,3.365906,135.2885,0,24/09/2020 10:56:24,1989
0,-12.65054,13.71934,3.365906,180.0589,0,24/09/2020 10:56:25,2040
9.687487E-14,-9.87924,7.390137,3.365906,147.0168,0,24/09/2020 10:56:26,2091
0,-2.342197,10.71717,3.365906,246.9374,0,24/09/2020 10:56:27,2142
0.0007146104,-2.618646,13.34576,3.365906,83.07011,0,24/09/2020 10:56:28,2193
0,1.303437,10.67136,3.365906,336.1187,0,24/09/2020 10:56:29,2244
0,-0.5905356,16.01136,3.365906,353.6297,0,24/09/2020 10:56:30,2295
0,-0.7835786,19.83922,3.365906,361.2185,0,24/09/2020 10:56:31,2346
0,-3.92122,16.82959,3.365906,188.0685,0,24/09/2020 10:56:32,2397
0,-4.41137,13.42545,3.365906,266.0095,0,24/09/2020 10:56:34,2448
0,-8.894628,13.71736,3.365906,272.199,0,24/09/2020 10:56:35,2499
0,-4.729456,8.347226,3.365906,153.866,0,24/09/2020 10:56:36,2550
4.84375E-14,3.744477,3.611345,3.365906,387.1677,0,24/09/2020 10:56:37,2601
9.687495E-14,2.369133,5.265002,3.365906,351.0262,0,24/09/2020 10:56:38,2652
1.210936E-14,1.950935,-0.8148145,3.365906,131.6145,0,24/09/2020 10:56:39,2703
9.08203E-14,-0.02681904,-0.144607,3.365906,272.1036,0,24/09/2020 10:56:40,2754
4.843741E-14,-2.241221,-0.5730073,3.365906,365.9032,0,24/09/2020 10:56:41,2805
1.453124E-13,-3.94444,-3.366813,3.365906,268.933,0,24/09/2020 10:56:42,2856
1.210937E-13,-4.046869,-1.596924,3.365906,42.77513,0,24/09/2020 10:56:43,2907
9.687485E-14,-3.075124,7.785968,3.365906,75.43298,0,24/09/2020 10:56:44,2958
0,-2.347876,7.848203,3.365906,91.28484,0,24/09/2020 10:56:45,3009
0,-0.3106632,4.82357,3.365906,161.373,0,24/09/2020 10:56:46,3060
0,1.456215,8.943487,3.365906,184.2657,0,24/09/2020 10:56:47,3111
9.687498E-14,2.676211,6.979893,3.365906,174.5553,0,24/09/2020 10:56:48,3162
0,3.268146,8.884611,3.365906,324.1019,0,24/09/2020 10:56:49,3213
0,0.004063934,15.69334,3.365906,204.3551,0,24/09/2020 10:56:50,3264
0,-3.583174,17.82587,3.365906,365.1039,0,24/09/2020 10:56:51,3315
0,1.90599,16.04214,3.365906,378.009,0,24/09/2020 10:56:52,3366
0,4.174273,17.44832,3.365906,73.04443,0,24/09/2020 10:56:53,3417
0,6.051963,12.90397,3.365906,210.6216,0,24/09/2020 10:56:54,3468
0,4.489001,14.50572,3.365906,316.7577,0,24/09/2020 10:56:55,3519
0,3.099532,16.62707,3.365906,335.1689,0,24/09/2020 10:56:56,3570
0,6.313539,23.29528,3.365906,371.1282,0,24/09/2020 10:56:57,3621
0,1.787532,23.40801,3.365906,191.4857,0,24/09/2020 10:56:58,3672
0,1.275575,23.5776,3.365906,293.1245,0,24/09/2020 10:56:59,3723
0,-5.370999,18.83984,3.365906,315.9928,0,24/09/2020 10:57:00,3774
