snatcherVelocity,xAxisPos,zAxisPos,distanceToTarget,viewAngle,touchedWall,date-time,update
0,-3.452339,28.4521,0,79.79973,0,24/09/2020 02:07:06,51
0,3.156052,24.66998,0,391.3533,0,24/09/2020 02:07:07,102
0,1.872633,29.54401,0,150.704,0,24/09/2020 02:07:08,153
0,-2.822624,29.48998,0,66.76453,0,24/09/2020 02:07:09,204
0,-2.125883,25.7344,0,242.7684,0,24/09/2020 02:07:10,255
0,1.800383,22.0753,0,282.8563,0,24/09/2020 02:07:11,306
0,0.6352197,22.69858,0,337.5809,0,24/09/2020 02:07:12,357
6.256234,0.9080973,34.15866,2.005309,167.5241,0,24/09/2020 02:07:13,408
0.2525131,4.959437,28.67683,2.005309,183.2807,0,24/09/2020 02:07:14,459
0.0009639767,5.489843,25.16357,2.005309,136.4588,0,24/09/2020 02:07:15,510
15.22139,8.320251,27.08965,6.577556,269.9544,0,24/09/2020 02:07:16,561
0,12.64521,35.15168,6.577556,164.6314,1,24/09/2020 02:07:17,612
0,14.32395,31.75517,6.577556,240.0279,1,24/09/2020 02:07:18,663
0.1550818,11.43579,29.21447,6.577556,82.06273,1,24/09/2020 02:07:19,714
0,11.06726,32.8242,6.577556,256.8003,1,24/09/2020 02:07:20,765
0,6.397491,33.24524,6.577556,291.9986,1,24/09/2020 02:07:21,816
7.424262,1.189353,35.38747,9.247034,97.85361,1,24/09/2020 02:07:22,867
7.130145,-2.730917,39.81539,4.264069,331.3392,1,24/09/2020 02:07:23,918
17.49056,3.891547,52.22054,6.261266,297.5947,1,24/09/2020 02:07:24,969
8.856818,11.49418,57.99435,6.261266,256.371,1,24/09/2020 02:07:25,1020
2.853099,11.12036,55.7248,6.261266,261.8032,1,24/09/2020 02:07:26,1071
0,6.629817,51.13746,6.261266,211.7126,1,24/09/2020 02:07:27,1122
0,12.27183,43.83349,6.261266,187.7353,1,24/09/2020 02:07:28,1173
0,15.43515,41.90997,6.261266,347.2175,2,24/09/2020 02:07:29,1224
0,9.244231,41.59444,6.261266,311.1343,3,24/09/2020 02:07:30,1275
