AgentID,GoodPointAmount,BadPointAmount,Velocity,xAxisPos,zAxisPos,seenBySnatcher,touchedWall,date-time,update
-1256,0,0,18.26252,-2.554523,35.38967,0,0,01/10/2020 02:04:23,50
-1140,0,0,11.07734,-11.43136,13.43959,0,0,01/10/2020 02:04:23,50
-1116,0,0,25.04208,29.92298,28.17912,0,2,01/10/2020 02:04:23,50
-1092,0,0,16.77399,37.9068,46.54523,0,0,01/10/2020 02:04:23,50
-1068,0,0,0.8764709,-16.47093,-10.17959,0,0,01/10/2020 02:04:23,50
-1256,1,1,13.54935,3.908926,33.67555,0,0,01/10/2020 02:04:24,101
-1140,0,0,7.449315,-14.56385,11.46875,0,0,01/10/2020 02:04:24,101
-1116,1,0,5.415121,27.8656,16.03142,0,2,01/10/2020 02:04:24,101
-1092,2,0,15.15965,29.15005,51.215,0,0,01/10/2020 02:04:24,101
-1068,2,0,31.049,-16.43561,-6.633439,0,0,01/10/2020 02:04:25,101
-1256,1,1,25.35683,-0.6782814,45.37162,0,0,01/10/2020 02:04:25,152
-1140,1,0,5.906342,-2.224745,14.40821,0,0,01/10/2020 02:04:25,152
-1116,2,0,5.759682,25.14988,8.09792,0,2,01/10/2020 02:04:25,152
-1092,2,0,5.161413,34.30608,40.89671,0,0,01/10/2020 02:04:25,152
-1068,2,0,17.50724,-8.716061,-6.665271,0,0,01/10/2020 02:04:25,152
-1256,1,2,12.98473,2.927513,43.74779,0,0,01/10/2020 02:04:27,203
-1140,1,0,18.07519,1.062371,18.87922,0,0,01/10/2020 02:04:27,203
-1116,2,0,15.71708,25.96697,12.60763,0,2,01/10/2020 02:04:27,203
-1092,2,0,11.28871,35.74892,45.1296,0,0,01/10/2020 02:04:27,203
-1068,2,0,13.28367,-4.027324,-10.951,0,1,01/10/2020 02:04:27,203
-1256,2,2,25.90978,-0.2762685,45.68436,0,0,01/10/2020 02:04:28,254
-1140,1,0,18.9719,1.991822,20.31689,0,0,01/10/2020 02:04:28,254
-1116,2,1,23.95834,26.52814,20.61292,0,2,01/10/2020 02:04:28,254
-1092,2,1,24.38753,28.0529,46.33953,0,0,01/10/2020 02:04:28,254
-1068,3,1,9.024995,-11.56037,-4.773329,0,2,01/10/2020 02:04:28,254
-1256,3,2,10.88057,-4.210724,43.30774,0,0,01/10/2020 02:04:29,305
-1140,2,0,33.8564,-7.063415,22.51903,0,0,01/10/2020 02:04:29,305
-1116,2,1,2.836724,42.44162,17.1426,0,2,01/10/2020 02:04:29,305
-1092,2,1,4.161011,38.9882,48.77706,0,0,01/10/2020 02:04:29,305
-1068,3,1,19.94199,-8.270941,-6.679394,0,2,01/10/2020 02:04:29,305
-1256,3,2,12.7815,-4.08112,33.57268,0,0,01/10/2020 02:04:30,356
-1140,2,0,15.15756,13.37167,33.18563,0,0,01/10/2020 02:04:30,356
-1116,3,1,27.32394,37.46913,9.775523,0,2,01/10/2020 02:04:30,356
-1092,2,2,12.72635,34.74883,47.80248,0,0,01/10/2020 02:04:30,356
-1068,3,1,20.70297,5.998233,-14.52778,0,2,01/10/2020 02:04:30,356
-1256,3,2,3.036937,-2.168559,47.9005,0,1,01/10/2020 02:04:31,407
-1140,2,0,8.617491,15.96345,36.33766,0,1,01/10/2020 02:04:31,407
-1116,4,1,13.71957,27.49347,11.40856,0,2,01/10/2020 02:04:31,407
-1092,2,2,19.17514,34.89579,44.42313,0,0,01/10/2020 02:04:31,407
-1068,3,1,14.01019,12.99853,-18.29123,0,2,01/10/2020 02:04:31,407
-1256,4,3,4.853857,-6.54161,54.33128,0,1,01/10/2020 02:04:32,458
-1140,3,0,9.090769,18.11753,28.95528,0,1,01/10/2020 02:04:32,458
-1116,4,1,27.27416,24.90668,9.550019,0,2,01/10/2020 02:04:32,458
-1092,2,2,19.05902,35.13672,38.04349,0,0,01/10/2020 02:04:32,458
-1068,6,1,7.604638,11.86775,-14.15454,0,2,01/10/2020 02:04:32,458
-1256,4,3,21.95411,-2.341805,44.61664,0,1,01/10/2020 02:04:33,509
-1140,3,0,8.628883,21.68199,30.36548,0,1,01/10/2020 02:04:33,509
-1116,4,1,19.7075,28.75858,17.27297,0,2,01/10/2020 02:04:33,509
-1092,3,2,22.54133,35.20942,29.42033,0,0,01/10/2020 02:04:33,509
-1068,6,1,18.91488,6.33367,-11.81725,0,2,01/10/2020 02:04:33,509
-1256,4,3,18.55573,-1.757318,39.67448,0,1,01/10/2020 02:04:34,560
-1140,3,1,3.543906,12.66406,24.26491,0,1,01/10/2020 02:04:34,560
-1116,5,1,16.2675,24.85283,29.77093,0,2,01/10/2020 02:04:34,560
-1092,4,2,18.0302,32.43722,35.08148,0,0,01/10/2020 02:04:34,560
-1068,6,1,14.51398,10.1379,-7.630201,0,2,01/10/2020 02:04:34,560
-1256,4,3,28.0374,-0.2606595,40.32578,0,2,01/10/2020 02:04:35,611
-1140,3,1,19.74451,7.108686,14.9506,0,1,01/10/2020 02:04:35,611
-1116,5,1,13.17847,19.61038,26.93442,0,2,01/10/2020 02:04:35,611
-1092,4,2,17.8265,33.82679,24.68107,0,0,01/10/2020 02:04:35,611
-1068,6,2,17.95429,3.292127,-0.6287197,0,2,01/10/2020 02:04:35,611
-1256,5,3,22.11923,-3.5539,49.18714,0,2,01/10/2020 02:04:36,662
-1140,5,1,2.689184,6.497369,21.05564,2,1,01/10/2020 02:04:36,662
-1116,5,1,21.42333,23.04585,20.77105,0,2,01/10/2020 02:04:36,662
-1092,4,2,24.98975,36.27523,27.261,0,0,01/10/2020 02:04:36,662
-1068,7,2,12.30052,6.209947,-15.29269,0,2,01/10/2020 02:04:36,662
-1256,5,3,17.5693,-2.88702,50.10774,0,2,01/10/2020 02:04:37,713
-1140,7,1,14.43518,-0.7855771,6.896572,2,1,01/10/2020 02:04:37,713
-1116,5,1,21.9973,27.85496,20.05639,0,2,01/10/2020 02:04:37,713
-1092,4,2,20.39458,29.69836,16.39266,0,0,01/10/2020 02:04:37,713
-1068,7,2,20.59002,8.611704,-21.43459,0,2,01/10/2020 02:04:37,713
-1256,5,3,11.33411,10.76615,53.83541,0,2,01/10/2020 02:04:38,764
-1140,7,1,17.89457,-5.03174,4.982709,2,1,01/10/2020 02:04:38,764
-1116,5,1,15.32125,28.21177,23.69485,0,2,01/10/2020 02:04:38,764
-1092,4,3,3.764567,24.737,0.9350117,0,1,01/10/2020 02:04:38,764
-1068,7,2,17.13334,15.03667,-16.65856,0,2,01/10/2020 02:04:38,764
-1256,6,3,18.82335,9.639347,55.75468,0,2,01/10/2020 02:04:39,815
-1140,7,1,15.10804,-9.245133,17.7699,2,1,01/10/2020 02:04:39,815
-1116,6,1,11.76057,26.57621,12.84598,0,2,01/10/2020 02:04:39,815
-1092,6,3,15.5135,41.84428,9.649369,0,1,01/10/2020 02:04:39,815
-1068,8,2,28.30668,9.902593,-16.91248,0,2,01/10/2020 02:04:39,815
-1256,6,3,17.96655,2.146308,51.91727,0,2,01/10/2020 02:04:40,866
-1140,7,1,21.62304,-13.79706,17.68564,2,1,01/10/2020 02:04:40,866
-1116,7,1,9.824378,35.70865,15.14266,0,2,01/10/2020 02:04:40,866
-1092,6,3,12.53299,40.7947,8.339387,0,1,01/10/2020 02:04:40,866
-1068,8,2,32.02782,8.514647,-14.28397,0,2,01/10/2020 02:04:40,866
-1256,7,3,24.72696,3.221144,47.69294,0,2,01/10/2020 02:04:41,917
-1140,7,1,25.40909,-15.17282,15.18783,2,1,01/10/2020 02:04:41,917
-1116,7,1,14.38797,25.3929,20.54756,0,2,01/10/2020 02:04:41,917
-1092,6,3,22.76348,45.91621,-0.7725455,0,1,01/10/2020 02:04:41,917
-1068,10,2,24.89946,3.856221,-12.58033,0,2,01/10/2020 02:04:41,917
-1256,7,3,9.360057,9.335489,61.42278,0,2,01/10/2020 02:04:42,968
-1140,7,2,16.93349,-19.35146,15.21452,2,1,01/10/2020 02:04:42,968
-1116,7,1,10.34204,20.73034,12.75385,0,2,01/10/2020 02:04:42,968
-1092,7,3,7.350125,40.07117,-0.7949971,0,1,01/10/2020 02:04:42,968
-1068,10,2,21.27186,7.593401,-7.539717,0,2,01/10/2020 02:04:42,968
-1256,7,3,12.56273,4.851855,65.40984,0,3,01/10/2020 02:04:43,1019
-1140,8,2,19.21941,-27.87128,31.35977,2,1,01/10/2020 02:04:43,1019
-1116,7,1,17.98375,24.40674,27.11029,0,2,01/10/2020 02:04:43,1019
-1092,8,3,14.09879,47.22313,-10.80297,0,3,01/10/2020 02:04:43,1019
-1068,10,2,2.769095,6.476979,-11.1777,0,2,01/10/2020 02:04:43,1019
-1256,7,3,6.695853,3.211423,54.0062,0,3,01/10/2020 02:04:44,1070
-1140,8,3,5.772921,-24.55243,30.40605,2,1,01/10/2020 02:04:44,1070
-1116,7,1,19.45221,9.694045,28.44729,0,2,01/10/2020 02:04:44,1070
-1092,9,3,9.879935,30.42203,-10.92954,0,3,01/10/2020 02:04:44,1070
-1068,10,2,21.45705,-2.130232,-24.49728,0,2,01/10/2020 02:04:44,1070
-1256,7,3,27.51871,0.8862499,49.62262,0,3,01/10/2020 02:04:45,1121
-1140,8,3,13.94248,-25.18134,30.41413,2,1,01/10/2020 02:04:45,1121
-1116,8,1,30.68427,8.411465,26.66367,0,2,01/10/2020 02:04:45,1121
-1092,9,3,8.016467,27.63967,-12.16911,0,3,01/10/2020 02:04:45,1121
-1068,10,2,18.02288,-7.138135,-20.47548,0,2,01/10/2020 02:04:45,1121
-1256,7,3,5.751446,-7.756909,53.9521,0,3,01/10/2020 02:04:46,1172
-1140,10,3,12.92785,-38.36725,40.03469,2,1,01/10/2020 02:04:46,1172
-1116,8,1,15.0789,4.449911,36.4834,0,2,01/10/2020 02:04:46,1172
-1092,10,6,9.997267,34.8633,-1.920344,0,3,01/10/2020 02:04:46,1172
-1068,10,2,9.778343,-8.784306,-5.468537,0,4,01/10/2020 02:04:46,1172
-1256,8,3,13.92256,-18.79057,52.26011,0,3,01/10/2020 02:04:47,1223
-1140,11,3,16.21003,-40.93916,31.38425,2,1,01/10/2020 02:04:47,1223
