AgentID,GoodPointAmount,BadPointAmount,Velocity,xAxisPos,zAxisPos,seenBySnatcher,touchedWall,academyScore,date-time
-1258,0,0,6.821874,-43.95353,-3.496303,0,0,0,11/02/2020 20:34:31
-1142,0,1,3.820843,-20.77502,15.73063,0,0,0,11/02/2020 20:34:31
-1116,0,0,1.992301,-1.212106,13.26723,0,0,0,11/02/2020 20:34:31
-1090,0,0,6.911102,-11.92309,30.15037,0,0,0,11/02/2020 20:34:31
-1064,1,0,10.99958,12.11809,-21.92438,0,0,0,11/02/2020 20:34:31
-1258,0,0,0.6903582,-45.91059,0.7226635,0,0,0,11/02/2020 20:34:32
-1142,0,1,0.5769974,-20.90043,15.01855,0,0,0,11/02/2020 20:34:32
-1116,0,0,4.330625,-0.6165155,12.40312,0,0,0,11/02/2020 20:34:32
-1090,0,0,4.722215,-13.59374,26.98958,0,0,0,11/02/2020 20:34:32
-1064,1,0,2.399054,8.39711,-21.7056,0,0,0,11/02/2020 20:34:32
-1258,0,0,6.072469,-46.66755,2.59088,0,0,0,11/02/2020 20:34:33
-1142,0,1,4.90632,-21.54032,15.20312,0,0,0,11/02/2020 20:34:33
-1116,0,0,7.554549,-1.590549,9.064749,0,0,0,11/02/2020 20:34:33
-1090,0,0,2.85867,-17.92054,24.31098,0,0,0,11/02/2020 20:34:33
-1064,1,0,5.74143,9.992908,-23.81329,0,0,0,11/02/2020 20:34:33
-1258,0,0,3.872954,-47.59274,1.780392,0,3,0,11/02/2020 20:34:34
-1142,0,1,3.83361,-26.45135,16.28113,0,0,0,11/02/2020 20:34:34
-1116,0,0,5.296672,-3.02806,7.793242,0,0,0,11/02/2020 20:34:34
-1090,0,0,2.991117,-15.31741,24.10261,0,0,0,11/02/2020 20:34:34
-1064,1,0,7.751836,11.46567,-23.63756,0,0,0,11/02/2020 20:34:34
-1258,0,0,4.984521,-48.21,0.1801137,0,4,0,11/02/2020 20:34:35
-1142,0,1,2.760442,-30.54301,14.31977,0,0,0,11/02/2020 20:34:35
-1116,1,1,0.1755131,-5.591546,5.474065,0,0,0,11/02/2020 20:34:35
-1090,0,0,5.799356,-14.08591,24.58752,0,0,0,11/02/2020 20:34:35
-1064,1,0,2.695515,12.62041,-27.21024,0,0,0,11/02/2020 20:34:35
-1258,0,0,4.104215,-46.99023,-0.4349459,0,4,0,11/02/2020 20:34:36
-1142,0,1,7.857638,-33.80842,10.11485,0,0,0,11/02/2020 20:34:36
-1116,1,1,4.652007,-7.973421,4.514794,0,0,0,11/02/2020 20:34:36
-1090,0,0,4.985483,-14.31496,22.98936,0,0,0,11/02/2020 20:34:36
-1064,1,0,3.539616,15.44345,-28.72449,0,0,0,11/02/2020 20:34:36
-1258,0,0,6.324621,-41.95419,-0.7233658,0,4,0,11/02/2020 20:34:37
-1142,0,1,5.776306,-37.75164,4.297393,0,0,0,11/02/2020 20:34:37
-1116,1,1,3.28558,-8.764582,4.033335,0,0,0,11/02/2020 20:34:37
-1090,0,0,5.422017,-17.41803,22.1101,0,0,0,11/02/2020 20:34:37
-1064,1,0,1.764563,15.12029,-29.91631,0,10,0,11/02/2020 20:34:37
-1258,0,0,0.6324317,-37.89356,-7.616352,0,4,1,11/02/2020 20:34:38
-1142,1,1,3.487803,-38.46885,-1.406919,0,0,1,11/02/2020 20:34:38
-1116,1,1,5.757832,-11.06823,5.831251,0,0,1,11/02/2020 20:34:38
-1090,0,0,7.769241,-16.30361,22.34676,0,0,1,11/02/2020 20:34:38
-1064,1,0,1.753882,15.75082,-29.80372,0,13,1,11/02/2020 20:34:38
-1258,0,0,10.37136,-36.08253,-10.73173,0,4,2,11/02/2020 20:34:39
-1142,2,1,1.151248,-38.0035,-3.94812,0,0,2,11/02/2020 20:34:39
-1116,1,1,2.321743,-5.901801,4.239733,0,0,2,11/02/2020 20:34:39
-1090,0,0,4.107706,-18.28807,24.24503,0,0,2,11/02/2020 20:34:39
-1064,1,0,1.246905,17.13503,-29.78556,0,17,2,11/02/2020 20:34:39
-1258,0,0,4.74603,-31.18885,-15.67796,0,4,2,11/02/2020 20:34:40
