snatcherVelocity,xAxisPos,zAxisPos,distanceToTarget,viewAngle,touchedWall,date-time
0,-19.991,36.11496,0,329.2175,0,11/02/2020 20:34:31
9.679383,-14.98199,31.65771,8.928066,176.9917,1,11/02/2020 20:34:32
9.679383,-5.675816,30.17557,8.928066,61.46745,1,11/02/2020 20:34:33
9.679383,-4.155348,17.17765,8.928066,125.6922,1,11/02/2020 20:34:34
17.03863,-1.91037,6.445631,7.856822,227.1849,1,11/02/2020 20:34:35
17.03863,-5.271713,-12.23532,7.856822,270.3279,1,11/02/2020 20:34:36
17.03863,-8.230911,-24.47973,7.856822,42.34255,1,11/02/2020 20:34:37
0,-5.34733,-27.07181,7.856822,378.6445,2,11/02/2020 20:34:38
0,-1.699263,-20.67517,7.856822,29.32664,2,11/02/2020 20:34:39
0,3.245631,-12.0388,7.856822,51.98127,2,11/02/2020 20:34:40
0,5.451818,-3.787807,7.856822,81.84592,2,11/02/2020 20:34:41
0,8.106988,2.489009,7.856822,113.3842,2,11/02/2020 20:34:42
0.05805732,11.67344,9.507726,7.856822,372.5126,2,11/02/2020 20:34:43
19.72948,13.07291,3.527472,7.155237,348.7947,2,11/02/2020 20:34:44
0.7416742,13.42894,4.864873,7.155237,344.298,3,11/02/2020 20:34:46
0.7416742,10.09821,10.14198,7.155237,342.7902,3,11/02/2020 20:34:47
0.7416739,1.346533,13.61863,7.155237,305.5602,3,11/02/2020 20:34:48
0.5375228,2.078448,16.14904,7.155237,235.2675,3,11/02/2020 20:34:49
0.5375228,5.859448,13.14108,7.155237,76.86509,3,11/02/2020 20:34:50
9.46754,15.25452,10.23048,13.18304,174.6325,3,11/02/2020 20:34:51
9.46754,19.78132,8.729505,13.18304,155.0812,3,11/02/2020 20:34:52
7.833312,24.91793,10.12099,13.18304,304.439,3,11/02/2020 20:34:53
7.833312,30.53559,12.6406,13.18304,350.2475,3,11/02/2020 20:34:54
7.833312,31.38007,19.45798,13.18304,268.6523,3,11/02/2020 20:34:55
7.833312,29.23848,20.52516,13.18304,310.2634,3,11/02/2020 20:34:56
