AgentID,GoodPointAmount,BadPointAmount,Velocity,xAxisPos,zAxisPos,seenByPredator,touchedWall,academyScore,date-time
-1258,3,0,9.749346,16.16374,-22.45579,0,0,5,11/02/2020 13:22
-1142,1,0,1.016453,-37.47374,30.55938,0,0,5,11/02/2020 13:22
-1116,2,0,2.087304,-32.43079,20.11728,0,0,5,11/02/2020 13:22
-1090,2,0,25.33072,-13.63154,11.87733,0,0,5,11/02/2020 13:22
-1064,0,0,11.29805,17.37794,-13.42312,0,0,5,11/02/2020 13:22
-1258,4,0,1.29368,14.293,-4.468949,0,1,6,11/02/2020 13:22
-1142,1,0,2.859552,-26.41773,36.20605,0,1,6,11/02/2020 13:22
-1116,2,0,19.31572,-26.95024,26.80426,0,0,6,11/02/2020 13:22
-1090,2,0,33.73096,18.90029,7.261095,0,0,6,11/02/2020 13:22
-1064,1,0,8.683335,23.36501,-4.937888,0,1,6,11/02/2020 13:22
-1258,6,0,10.21959,16.89771,-9.254218,0,1,11,11/02/2020 13:22
-1142,1,0,6.365159,-20.3872,35.34341,0,2,11,11/02/2020 13:22
-1116,5,0,19.66456,-17.58058,32.74641,0,0,11,11/02/2020 13:22
-1090,2,0,32.8049,48.51036,17.32191,0,0,11,11/02/2020 13:22
-1064,3,0,19.43497,30.58438,-6.466722,0,3,11,11/02/2020 13:22
-1258,6,0,3.993344,20.02905,-29.71071,0,2,8,11/02/2020 13:22
-1142,1,1,13.79955,-19.18558,27.2922,0,2,8,11/02/2020 13:22
-1116,5,1,27.98224,5.500066,33.50446,0,0,8,11/02/2020 13:22
-1090,2,0,11.94619,41.57816,10.60999,0,1,8,11/02/2020 13:22
-1064,4,2,6.326199,33.3079,-11.78134,0,3,8,11/02/2020 13:22
-1258,6,0,23.19259,12.9474,-17.85958,0,2,10,11/02/2020 13:22
-1142,1,1,32.64188,-27.58455,2.083788,0,2,10,11/02/2020 13:22
-1116,6,1,14.59535,25.14178,34.21811,0,2,10,11/02/2020 13:22
-1090,3,0,23.12915,30.3826,5.38635,0,1,10,11/02/2020 13:22
-1064,4,2,1.764569,20.25154,-29.85613,0,4,10,11/02/2020 13:22
-1258,7,0,11.41238,19.26156,-14.27524,0,2,7,11/02/2020 13:22
-1142,1,1,15.53222,-27.8281,10.05507,0,3,7,11/02/2020 13:22
-1116,6,2,7.494783,28.26046,29.21044,0,2,7,11/02/2020 13:22
-1090,3,2,0.01856139,12.15938,15.88866,0,1,7,11/02/2020 13:22
-1064,4,2,29.6071,2.391912,-25.93592,0,4,7,11/02/2020 13:22
-1258,8,0,11.94598,12.72295,-17.92,0,2,10,11/02/2020 13:22
-1142,2,2,9.728189,-31.13325,26.37399,0,3,10,11/02/2020 13:22
-1116,8,2,16.5716,28.12223,32.97015,0,2,10,11/02/2020 13:22
-1090,3,2,29.36173,-6.448843,20.86588,0,1,10,11/02/2020 13:22
