predatorVelocity,xAxisPos,zAxisPos,distanceToTarget,viewAngle,touchedWall,date-time
0.468683,24.47933,-7.734476,0,362.4703,0,12/02/2020 09:37
0.7735339,22.56507,-6.65262,0,355.3077,0,12/02/2020 09:37
1.13332,16.20121,-7.010838,0,295.0688,1,12/02/2020 09:37
1.133321,18.28974,-4.255184,0,356.6573,2,12/02/2020 09:37
0.306872,18.02595,-6.508947,0,87.69643,2,12/02/2020 09:37
0.3033899,17.67134,-7.832087,0,355.4116,2,12/02/2020 09:37
7.45E-09,15.37024,-4.210772,0,386.4438,3,12/02/2020 09:37
6.55E-05,7.758278,-2.289719,0,358.7081,3,12/02/2020 09:37
6.55E-05,6.787896,-1.643852,0,294.9548,3,12/02/2020 09:37
6.55E-05,5.00844,4.64066,0,374.6458,3,12/02/2020 09:37
6.55E-05,-2.836934,9.96912,0,334.7557,3,12/02/2020 09:37
6.55E-05,-2.805032,6.763206,0,130.4109,3,12/02/2020 09:37
6.55E-05,-0.4299886,5.488743,0,122.8283,3,12/02/2020 09:37
6.55E-05,-5.555473,6.859756,0,237.9191,3,12/02/2020 09:37
6.55E-05,-8.923407,5.980648,0,261.0593,3,12/02/2020 09:37
6.55E-05,-12.39991,8.691754,0,83.6944,3,12/02/2020 09:37
6.55E-05,-9.625125,16.2602,0,366.9906,3,12/02/2020 09:37
6.55E-05,-8.170329,17.33588,0,69.94814,3,12/02/2020 09:37
6.55E-05,-8.630796,11.84937,0,209.4502,3,12/02/2020 09:37
6.55E-05,-7.59056,11.62843,0,91.9485,3,12/02/2020 09:37
6.55E-05,-8.745618,19.35872,0,308.3479,3,12/02/2020 09:37
6.55E-05,-17.12618,17.74502,0,341.2498,3,12/02/2020 09:37
6.55E-05,-18.10001,13.60438,0,92.42371,3,12/02/2020 09:37
6.55E-05,-9.207328,14.80019,0,165.8734,3,12/02/2020 09:37
6.55E-05,-10.73424,13.25902,0,387.3522,3,12/02/2020 09:37
6.55E-05,-15.34703,11.44418,0,250.0534,3,12/02/2020 09:37
6.55E-05,-16.32977,13.3492,0,101.2514,3,12/02/2020 09:37
6.55E-05,-14.29502,21.52061,0,388.345,3,12/02/2020 09:37
6.55E-05,-16.29825,14.7564,0,148.4046,3,12/02/2020 09:37
6.55E-05,-6.969332,12.25276,0,162.4047,3,12/02/2020 09:37
6.55E-05,-2.163543,13.05159,0,263.3838,3,12/02/2020 09:37
6.55E-05,-1.244292,8.605412,0,240.5203,3,12/02/2020 09:37
0.2949992,-7.057227,15.19851,0,365.7449,3,12/02/2020 09:37
9.519588,-6.915751,28.71455,10.60469,91.42021,3,12/02/2020 09:37
