,Gini
0,0.0
1,0.3016
2,0.2952
3,0.3944
4,0.5184
5,0.5327999999999999
6,0.6096
7,0.5992
8,0.6064
9,0.5576000000000001
10,0.6008
11,0.5944
12,0.6032
13,0.6048
14,0.6048
15,0.6224000000000001
16,0.6224000000000001
17,0.6624000000000001
18,0.668
19,0.6664
20,0.6664
21,0.6712
22,0.656
23,0.6592
24,0.6344000000000001
25,0.6344000000000001
26,0.624
27,0.6080000000000001
28,0.6120000000000001
29,0.6120000000000001
30,0.6024
31,0.5688
32,0.5752
33,0.5944
34,0.6384000000000001
35,0.6896
36,0.6424000000000001
37,0.656
38,0.712
39,0.6848000000000001
40,0.676
41,0.6832
42,0.7
43,0.708
44,0.708
45,0.6856
46,0.6784
47,0.6616
48,0.6616
49,0.6592
50,0.6384000000000001
51,0.5880000000000001
52,0.5752
53,0.5704
54,0.5640000000000001
55,0.6072
56,0.6424000000000001
57,0.6335999999999999
58,0.6624000000000001
59,0.6799999999999999
60,0.6968000000000001
61,0.7096
62,0.6912
63,0.6856
64,0.6992
65,0.6848000000000001
66,0.6848000000000001
67,0.6792
68,0.6968000000000001
69,0.6608
70,0.6335999999999999
71,0.5968
72,0.628
73,0.6096
74,0.5992
75,0.5992
76,0.5472
77,0.5688
78,0.5640000000000001
79,0.556
80,0.5840000000000001
81,0.636
82,0.6312
83,0.648
84,0.6416
85,0.6688000000000001
86,0.6648000000000001
87,0.636
88,0.648
89,0.656
90,0.6672
91,0.6736
92,0.664
93,0.6799999999999999
94,0.64
95,0.6152
96,0.6576
97,0.6864
98,0.7128000000000001
99,0.7056
