,N,Run,Gini,height,width
149,10,0,0.54,10,10
225,10,1,0.6600000000000001,10,10
244,10,2,0.4800000000000001,10,10
70,10,3,0.54,10,10
89,10,4,0.32000000000000006,10,10
98,20,5,0.66,10,10
179,20,6,0.74,10,10
8,20,7,0.74,10,10
196,20,8,0.65,10,10
26,20,9,0.615,10,10
222,30,10,0.6600000000000001,10,10
51,30,11,0.6311111111111112,10,10
186,30,12,0.6444444444444446,10,10
14,30,13,0.7111111111111112,10,10
34,30,14,0.7266666666666668,10,10
168,40,15,0.69875,10,10
44,40,16,0.6237499999999999,10,10
117,40,17,0.6012499999999998,10,10
195,40,18,0.6749999999999999,10,10
24,40,19,0.6549999999999999,10,10
167,50,20,0.6408,10,10
241,50,21,0.6056,10,10
15,50,22,0.5840000000000001,10,10
86,50,23,0.6488,10,10
181,50,24,0.6608,10,10
201,60,25,0.7272222222222222,10,10
166,60,26,0.6616666666666666,10,10
122,60,27,0.6099999999999999,10,10
190,60,28,0.6394444444444444,10,10
18,60,29,0.6755555555555555,10,10
128,70,30,0.6718367346938775,10,10
203,70,31,0.6261224489795918,10,10
243,70,32,0.6599999999999999,10,10
79,70,33,0.6273469387755102,10,10
25,70,34,0.6130612244897959,10,10
93,80,35,0.6621874999999999,10,10
175,80,36,0.7240624999999999,10,10
2,80,37,0.658125,10,10
73,80,38,0.5778125,10,10
152,80,39,0.6471875,10,10
162,90,40,0.585679012345679,10,10
237,90,41,0.7009876543209876,10,10
9,90,42,0.6760493827160494,10,10
81,90,43,0.6666666666666666,10,10
101,90,44,0.6190123456790123,10,10
22,100,45,0.6844,10,10
95,100,46,0.694,10,10
177,100,47,0.6622,10,10
161,100,48,0.5926,10,10
236,100,49,0.6832,10,10
143,110,50,0.6224793388429751,10,10
217,110,51,0.6778512396694214,10,10
99,110,52,0.688595041322314,10,10
180,110,53,0.6757024793388429,10,10
198,110,54,0.6752066115702479,10,10
82,120,55,0.6813888888888888,10,10
163,120,56,0.6568055555555555,10,10
238,120,57,0.6177777777777778,10,10
64,120,58,0.7031944444444445,10,10
142,120,59,0.6222222222222222,10,10
33,130,60,0.6655621301775148,10,10
105,130,61,0.7010650887573964,10,10
126,130,62,0.6640236686390533,10,10
200,130,63,0.6726627218934911,10,10
23,130,64,0.6695857988165681,10,10
32,140,65,0.6702040816326531,10,10
104,140,66,0.6636734693877551,10,10
184,140,67,0.6240816326530612,10,10
145,140,68,0.7006122448979591,10,10
220,140,69,0.6595918367346938,10,10
41,150,70,0.6499555555555555,10,10
115,150,71,0.6670222222222222,10,10
27,150,72,0.7016888888888888,10,10
42,150,73,0.6485333333333332,10,10
232,150,74,0.6768888888888889,10,10
66,160,75,0.6792187500000001,10,10
144,160,76,0.682578125,10,10
218,160,77,0.68890625,10,10
47,160,78,0.6312500000000001,10,10
123,160,79,0.6349218750000001,10,10
92,170,80,0.6752941176470588,10,10
165,170,81,0.6197231833910035,10,10
193,170,82,0.6575778546712803,10,10
19,170,83,0.6637370242214533,10,10
40,170,84,0.6986159169550172,10,10
5,180,85,0.6671604938271605,10,10
75,180,86,0.6366049382716049,10,10
155,180,87,0.6955555555555555,10,10
90,180,88,0.6629012345679013,10,10
173,180,89,0.6582098765432098,10,10
172,190,90,0.6411634349030471,10,10
0,190,91,0.6837673130193906,10,10
129,190,92,0.696398891966759,10,10
204,190,93,0.6642659279778393,10,10
226,190,94,0.6495290858725762,10,10
178,200,95,0.6597499999999998,10,10
202,200,96,0.6935999999999999,10,10
35,200,97,0.6530999999999999,10,10
106,200,98,0.6541499999999999,10,10
187,200,99,0.6521499999999999,10,10
111,210,100,0.6860770975056689,10,10
189,210,101,0.6347392290249433,10,10
207,210,102,0.6540589569160997,10,10
37,210,103,0.6463945578231292,10,10
55,210,104,0.648798185941043,10,10
63,220,105,0.680495867768595,10,10
141,220,106,0.6742561983471076,10,10
215,220,107,0.6154958677685951,10,10
183,220,108,0.6815702479338843,10,10
10,220,109,0.6674793388429753,10,10
150,230,110,0.627977315689981,10,10
109,230,111,0.6452930056710775,10,10
213,230,112,0.6845746691871455,10,10
43,230,113,0.6452173913043477,10,10
60,230,114,0.6744423440453686,10,10
11,240,115,0.6761805555555556,10,10
83,240,116,0.6366666666666667,10,10
164,240,117,0.6456597222222222,10,10
239,240,118,0.6767361111111111,10,10
65,240,119,0.6878819444444444,10,10
31,250,120,0.619648,10,10
102,250,121,0.657824,10,10
124,250,122,0.669184,10,10
199,250,123,0.65872,10,10
219,250,124,0.643904,10,10
185,260,125,0.6616863905325443,10,10
13,260,126,0.673284023668639,10,10
84,260,127,0.653284023668639,10,10
212,260,128,0.687189349112426,10,10
28,260,129,0.6710650887573965,10,10
100,270,130,0.6664746227709191,10,10
182,270,131,0.6520438957475996,10,10
62,270,132,0.6409053497942387,10,10
139,270,133,0.6320713305898491,10,10
229,270,134,0.647764060356653,10,10
174,280,135,0.6426530612244898,10,10
1,280,136,0.6620918367346939,10,10
72,280,137,0.6802295918367347,10,10
151,280,138,0.6634438775510204,10,10
228,280,139,0.6311734693877551,10,10
153,290,140,0.6507253269916764,10,10
96,290,141,0.6542211652794292,10,10
119,290,142,0.6337693222354339,10,10
197,290,143,0.6862782401902496,10,10
171,290,144,0.6702734839476812,10,10
223,300,145,0.6726000000000001,10,10
52,300,146,0.6558222222222223,10,10
127,300,147,0.6636444444444445,10,10
88,300,148,0.663288888888889,10,10
170,300,149,0.6455111111111111,10,10
61,310,150,0.6231841831425597,10,10
138,310,151,0.6605619146722164,10,10
46,310,152,0.6585015608740894,10,10
120,310,153,0.642955254942768,10,10
121,310,154,0.6239958376690946,10,10
191,320,155,0.64671875,10,10
231,320,156,0.68197265625,10,10
57,320,157,0.633515625,10,10
134,320,158,0.6439062500000001,10,10
209,320,159,0.656484375,10,10
69,330,160,0.6577777777777777,10,10
146,330,161,0.629843893480257,10,10
169,330,162,0.6625528007346189,10,10
235,330,163,0.6717906336088153,10,10
17,330,164,0.6731680440771348,10,10
148,340,165,0.6726989619377163,10,10
224,340,166,0.6553287197231834,10,10
53,340,167,0.6619723183391004,10,10
240,340,168,0.6131314878892733,10,10
67,340,169,0.6425432525951558,10,10
114,350,170,0.660604081632653,10,10
194,350,171,0.6746612244897959,10,10
216,350,172,0.6452897959183674,10,10
54,350,173,0.6356571428571429,10,10
48,350,174,0.6610122448979592,10,10
116,360,175,0.6360956790123456,10,10
56,360,176,0.6395987654320987,10,10
133,360,177,0.6403240740740741,10,10
208,360,178,0.6585185185185185,10,10
38,360,179,0.6502006172839506,10,10
50,370,180,0.6688823959094229,10,10
227,370,181,0.6740102264426588,10,10
130,370,182,0.6532797662527392,10,10
